id	jurisdiction	full_name
caljp	C	State of California Commission On Judicial Performance
fcc	C	Decisions of the Federal Communications Commission
ohiobar	C	Board of Commissioners On The Unauthorized Practice of Law State of Ohio
ohiocivright	C	Ohio Civil Rights Commission
usjc	C	United States Judicial Conference Committee
ca1	F	Court of Appeals for the First Circuit
ca10	F	Court of Appeals for the Tenth Circuit
ca11	F	Court of Appeals for the Eleventh Circuit
ca2	F	Court of Appeals for the Second Circuit
ca3	F	Court of Appeals for the Third Circuit
ca4	F	Court of Appeals for the Fourth Circuit
ca5	F	Court of Appeals for the Fifth Circuit
ca6	F	Court of Appeals for the Sixth Circuit
ca7	F	Court of Appeals for the Seventh Circuit
ca8	F	Court of Appeals for the Eighth Circuit
ca9	F	Court of Appeals for the Ninth Circuit
caca	F	Circuit Court for California
cadc	F	Court of Appeals for the D.C. Circuit
cafc	F	Court of Appeals for the Federal Circuit
circtcapefearnc	F	U.S. Circuit Court District of Cape Fear (North Carolina)
circtdal	F	U.S. Circuit Court for the District of Alabama
circtdalb	F	U.S. Circuit Court District of Albemarle (North Carolina)
circtdalbanyny	F	U.S. Circuit Court for the District of Albany New York
circtdar	F	U.S. Circuit Court for the District of Arkansas
circtdca	F	U.S. Circuit Court for the District of California
circtdco	F	U.S. Circuit Court for the District of Colorado
circtdct	F	U.S. Circuit Court for the District of Connecticut
circtddc	F	U.S. Circuit Court for the District of District of Columbia
circtdedenton	F	U.S. Circuit Court District of Edenton (North Carolina)
circtdel	F	U.S. Circuit Court for the District of Delaware
circtdga	F	U.S. Circuit Court for the District of Georgia
circtdia	F	U.S. Circuit Court for the District of Iowa
circtdid	F	U.S. Circuit Court for the District of Idaho
circtdil	F	U.S. Circuit Court for the District of Illinois
circtdin	F	U.S. Circuit Court for the District of Indiana
circtdks	F	U.S. Circuit Court for the District of Kansas
circtdky	F	U.S. Circuit Court for the District of Kentucky
circtdla	F	U.S. Circuit Court for the District of Louisiana
circtdma	F	U.S. Circuit Court for the District of Massachusetts
circtdmd	F	U.S. Circuit Court for the District of Maryland
circtdme	F	U.S. Circuit Court for the District of Maine
circtdmi	F	U.S. Circuit Court for the District of Michigan
circtdmn	F	U.S. Circuit Court for the District of Minnesota
circtdmo	F	U.S. Circuit Court for the District of Missouri
circtdms	F	U.S. Circuit Court for the District of Mississippi
circtdmt	F	U.S. Circuit Court for the District of Montana
circtdnd	F	U.S. Circuit Court for the District of North Dakota
circtdne	F	U.S. Circuit Court for the District of Nebraska
circtdnewbern	F	U.S. Circuit Court District of New Bern (North Carolina)
circtdnh	F	U.S. Circuit Court for the District of New Hampshire
circtdnj	F	U.S. Circuit Court for the District of New Jersey
circtdnv	F	U.S. Circuit Court for the District of Nevada
circtdoh	F	U.S. Circuit Court for the District of Ohio
circtdor	F	U.S. Circuit Court for the District of Oregon
circtdpa	F	U.S. Circuit Court for the District of Pennsylvania
circtdpamptico	F	U.S. Circuit Court District of Pamptico (North Carolina)
circtdri	F	U.S. Circuit Court for the District of Rhode Island
